Número,Ano,Processo,Modalidade,Objeto,Situação,Valor,Órgão,Categoria,Link Aviso,Link Contrato
90056,2025,020100270010092024,PREGÃO ELETRÔNICO,"Contratação de empresa especializada na prestação de Serviços de Hospedagem e serviços correlatos, tais como: locação de auditório, coffee-breaks e buffet.",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12508,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12508
90055,2025,020100210036332024,PREGÃO ELETRÔNICO,AQUISIÇÃO DE 11 (ONZE) VEÍCULOS AUTOMOTORES,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12504,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12504
90052,2025,119100080028792024,PREGÃO ELETRÔNICO,Aquisição de material de construção,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12514,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12514
90050,2025,015110200000162024,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVICOS DE ANÁLISES E PESQUISAS CIENTÍFICAS PARA O BPRED/COORDENAÇÃO DA PATRULHA MARIA DA PENHA DA PMRN,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12496,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12496
90049,2025,015110200000142023,PREGÃO ELETRÔNICO,AQUISIÇÃO DE VIATURAS TIPO SUV CARACTERIZADAS PARA a PM/RN.,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12478,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12478
90047,2025,005100270007492024,PREGÃO ELETRÔNICO,"Contratação de empresa especializada na prestação dos serviços de Subscrição de Licença de uso de Softwares Microsoft do tipo suíte de escritório Office 365 Enterprise E3 e de Microsoft Power BI PRO,",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12475,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12475
90046,2025,005100500009412024,PREGÃO ELETRÔNICO,Aquisição de drones,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12461,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12461
90045,2025,005100500009392024,PREGÃO ELETRÔNICO,"AQUISIÇÃO DE SCANNER DE MESA, CONDICIONADOR DE AR E NOTEBOOKS PARA A PM/RN",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12467,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12467
90044,2025,039100480012372024,PREGÃO ELETRÔNICO,AQUISIÇÃO DE EQUIPAMENTOS DESTINADOS A ESTAÇÃO AVANÇADA DE TRABALHO (WORKSTATION) PARA O ITEP/RN.,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12498,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12498
90043,2025,001100330008262025,PREGÃO ELETRÔNICO,"Aquisição de aparelhos de ar condicionados junto ao mercado de fornecedores, por meio do sistema de registro de preços",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12469,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12469
90041,2025,015110550000892024,PREGÃO ELETRÔNICO,"Contratação de empresa especializada para a prestação de serviços de qualificação e capacitação profissional, voltados à identificação preventiva de r",REPUBLICAÇÃO,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12442,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12442
90040,2025,119100080028802024,PREGÃO ELETRÔNICO,Aquisição de Baterias para aparelho de radiofrequência MOTOROLA APX2000 para a Polícia Civil do RN,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12454,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12454
90038,2025,001100330002492025,PREGÃO ELETRÔNICO,"Contratação de empresa especializada na prestação de serviços de vigilância e segurança patrimonial, armada e desarmada, diurna e noturna para a REGIÃO 3.",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12435,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12435
90037,2025,039100480011372024,PREGÃO ELETRÔNICO,Aquisição de material gráfico personalizado para o Instituto Técnico-Científico de Perícia do Rio Grande do Norte,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12526,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12526
90035,2025,005100440050812023,PREGÃO ELETRÔNICO,Contratação de serviços de segurança do trabalho.,HOMOLOGADA,"50.173,50",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12436,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12436
90031,2025,088102620000552024,PREGÃO ELETRÔNICO,Aquisição de equipamentos operacionais para salvamento em altura para o Centro de Formação de Praças (CFAP) do Corpo de Bombeiros Militar do Estado do Rio Grande do Norte (CBMRN),PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12446,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12446
90030,2025,028100230005212024,PREGÃO ELETRÔNICO,Contratação de empresa especializada na prestação de serviço continuados de vigilância armada para o IDEMA,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12443,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12443
90029,2025,015101260007332023,PREGÃO ELETRÔNICO,Aquisição de 01 (um) veículo tipo caminhão baú transanimal,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12421,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12421
90028,2025,015100830011842023,PREGÃO ELETRÔNICO,Aquisição de 01 (uma) embarcação,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12416,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12416
90027,2025,001100330002512025,PREGÃO ELETRÔNICO,Publicação do Edital,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12423,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12423
90026,2025,015110200000132023,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE SERVIÇOS GRÁFICOS PARA A POLÍCIA MILITAR/RN,HOMOLOGADA,"1.487.100,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12490,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12490
90025,2025,001100330052882024,PREGÃO ELETRÔNICO,Constituição de Registro de Preços para futura e eventual aquisição de equipamentos e suprimentos de informática.,REAPRAZADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12415,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12415
90024,2025,088101930001252024,PREGÃO ELETRÔNICO,"Contratação de empresa especializada na prestação do serviço de manutenção, preventiva corretiva, de aeronaves,  incluindo o fornecimento de componentes e acessórios, quando necessário, para a aeronav",HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12383,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12383
90023,2025,088100400016002024,PREGÃO ELETRÔNICO,Aquisição de aparelhos condicionadores de ar com vistas a garantir os parâmetros do conforto térmico e de qualidade do ar nas Unidades do Corpo de Bombeiros Militar do Estado do Rio Grande do Norte (,REAPRAZADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12356,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12356
90022,2025,088100710005122024,PREGÃO ELETRÔNICO,Aquisição de materiais médico-hospitalares com o objetivo de atender às necessidades do Comando Operacional e do Serviço de Saúde do CBMRN,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12353,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12353
90021,2025,001100330034342024,PREGÃO ELETRÔNICO,Publicação do Edital,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12396,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12396
90020,2025,001100330002622025,PREGÃO ELETRÔNICO,Publicação do Edital,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12370,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12370
90019,2025,085100300021422024,PREGÃO ELETRÔNICO,Aquisição de Trator e equipamentos agrícolas para a SEDRAF,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12371,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12371
90018,2025,005100270003702024,PREGÃO ELETRÔNICO,Aquisição de equipamentos TI,HOMOLOGADA,"436.181,93",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12350,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12350
90017,2025,061100030017682024,PREGÃO ELETRÔNICO,Publicação do Edital,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12384,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12384
90016,2025,039100480021052023,PREGÃO ELETRÔNICO,Contratação de empresa para Aperfeiçoamento dos profissionais do Instituto Técnico-Científico de Perícia do Rio Grande do Norte e de outras forças de segurança.,HOMOLOGADA,"302.833,33",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12342,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12342
90015,2025,039100480023532024,PREGÃO ELETRÔNICO,AQUISIÇÃO DE CADEIRAS ERGONÔMICAS PARA O ITEP/RN,REPUBLICAÇÃO,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12335,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12335
90014,2025,061100030017912024,PREGÃO ELETRÔNICO,"Aquisição de equipamentos de som (caixas de som, microfone, mesa de áudio/vídeo e fone de ouvido)",REAPRAZADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12339,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12339
90012,2025,003100030001862024,PREGÃO ELETRÔNICO,Contratação de empresa especializada para prestação de Serviços de Tecnologia da Informação por postos de trabalho com índices mínimos de resultado (IMR).,HOMOLOGADA,"49.000.001,59",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12344,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12344
90011,2025,088102020002282023,PREGÃO ELETRÔNICO,Aquisição de kits individuais de atendimento pré-hospitalar de combate para os militares do Corpo de Bombeiros Militar do Rio Grande do Norte.,HOMOLOGADA,"1.477.336,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12334,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12334
90010,2025,088102010000492024,PREGÃO ELETRÔNICO,"Aquisição de materiais para treinamento e aulas expositivas do Programa Bombeiro Mirim (Machado arrombador tipo bombeiro, Máscara de proteção respiratória semifacial, Luva de vaqueta, Lanterna elétric",HOMOLOGADA,"8.159,20",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12331,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12331
90009,2025,005100280074862023,PREGÃO ELETRÔNICO,"Contratação de empresa especializada para execução de serviço de reforma do Edifício BRUNEI, situado na Rua Carlos Chagas, nº 3466 “A”, no bairro de Candelária, Natal/RN, CEP nº 59.065-220",HOMOLOGADA,"105.000,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12330,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12330
90008,2025,001100330046202024,PREGÃO ELETRÔNICO,"Contratação de empresa especializada na prestação de serviços de vigilância e segurança patrimonial, armada e desarmada, diurna e noturna, compreendendo o fornecimento de mão de obra, de insumos.",PUBLICADA,"17.196.094,68",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12326,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12326
90007,2025,088102250000112023,PREGÃO ELETRÔNICO,"Contratação de Escola de Aviação homologada pela Agência Nacional de Aviação Civil - ANAC, visando à qualificação de Bombeiros Militares do Quadro de Oficiais Combatentes (QOC) do CBMRN, para obtenção",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12320,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12320
90007,2025,088102250000112023,PREGÃO ELETRÔNICO,"CONTRATAÇÃO DE ESCOLA DE AVIAÇÃO HOMOLOGADA PELA AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC, VISANDO À QUALIFICAÇÃO DE BOMBEIROS MILITARES DO QUADRO DE OFICIAIS COMBATENTES (QOC) DO CBMRN, PARA OBTENÇÃO",HOMOLOGADA,"1.068.955,20",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12322,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12322
90006,2025,015110200000142024,PREGÃO ELETRÔNICO,AQUISIÇÃO DE VIATURAS TIPO SUV CARACTERIZADAS PARA O BATALHÃO DE POLICIAMENTO ESCOLAR E PREVENÇÃO ÀS DROGAS E À VIOLÊNCIA - BPRED DA PMRN.,HOMOLOGADA,"592.000,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12303,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12303
90005,2025,001100330039072024,PREGÃO ELETRÔNICO,Registro de preços objetivando futura e eventual contratação de empresa especializada nos serviços de manutenção e recarga de extintores portáteis,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12319,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12319
90004,2025,088102340001322024,PREGÃO ELETRÔNICO,Aquisição de ambulância resgate tipo B.,HOMOLOGADA,"973.265,34",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12316,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12316
90003,2025,088102260000842023,PREGÃO ELETRÔNICO,"Aquisição de materiais de consumo para realização para o Cursos de Combate a Incêndio Urbano, Curso de Combate a Incêndio Florestal e Curso de Salvamento Aquático.",HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12315,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12315
90002,2025,015110200000102023,PREGÃO ELETRÔNICO,AQUISIÇÃO DE 15 (QUINZE) SMARTPHONES PARA O BATALHÃO DE POLICIAMENTO ESCOLAR E PREVENÇÃO ÀS DROGAS E À VIOLÊNCIA - BPRED DA PMRN.,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12317,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12317
90001,2025,088100710004052024,PREGÃO ELETRÔNICO,Aquisição de materiais de Atendimento Pré-Hospitalar (APH) com o fito em atender as necessidades operacionais do CBMRN,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12321,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12321
90001,2025,088101970003442023,CONCORRÊNCIA  NACIONAL,CONTRATAÇÃO DE SERVIÇOS DE CONSULTORIA FINANCEIRA INDIVIDUALIZADA COM RECURSOS EDUCACIONAIS DIGITAIS QUE OFEREÇA FERRAMENTAS DE PLANEJAMENTO FINANCEIRO PARA MILITARES DO CBM/RN,HOMOLOGADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12406,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12406
90011,2025,004100150003522025,CONCORRÊNCIA  NACIONAL,"Contratação de empresa especializada para realizar a construção de estrutura física, para campo de futebol Society (Areninha Potiguar), na Escola Estadual Monsenhor Celso Cicco, localizada na Avenida",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12488,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12488
90010,2025,004100150003112025,CONCORRÊNCIA  NACIONAL,"Contratação de empresa especializada para construção de Campo de Futebol Society (Areninha Potiguar) na Escola Estadual Professor José Fernandes Machado, localizada na Avenida Praia de Muriu, Ponta Ne",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12487,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12487
90009,2025,004100150003662025,CONCORRÊNCIA PÚBLICA NACIONAL,"ontratação de empresa especializada para realizar a construção de estrutura física, para campo de futebol Society (Areninha Potiguar), na Escola Estadual Walter Duarte Pereira, localizada na Avenida B",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12471,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12471
90008,2025,004100150002972025,CONCORRÊNCIA PÚBLICA NACIONAL,"Contratação de empresa especializada para construção de Campo de Futebol Society (Areninha Potiguar) na Escola Estadual Walfredo Gurgel, localizada na Rua Bento Gonçalves, S/N, Bairro de Candelária, N",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12472,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12472
90007,2025,004100150003572025,CONCORRÊNCIA PÚBLICA NACIONAL,"Contratação de empresa especializada para realizar a construção de estrutura física, para campo de futebol Society (Areninha Potiguar), na Escola Estadual Santos Dumont, localizada na Avenida Felizard",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12485,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12485
90006,2025,004100150003132025,CONCORRÊNCIA PÚBLICA NACIONAL,"Contratação de empresa especializada para realizar a construção de estrutura física, para campo de futebol Society (Areninha Potiguar), na Escola Estadual Lourdes Guilherme, localizada na Av. São Migu",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12484,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12484
90005,2025,004100050030882024,PREGÃO ELETRÔNICO,"Aquisição de Servidores de Hiperconvergência, conforme condições e exigências estabelecidas no Termo de Referência – anexo I deste Edital.",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12492,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12492
90005,2025,004100150003082025,CONCORRÊNCIA PÚBLICA NACIONAL,"Contratação de empresa especializada para realizar a construção de estrutura física, para campo de futebol Society (Areninha Potiguar), na Escola Estadual 15 de Outubro, localizada na Avenida Rio Doce",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12481,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12481
90004,2025,004100150003122025,CONCORRÊNCIA PÚBLICA NACIONAL,"Contratação de empresa especializada para realizar a construção de estrutura física, para campo de futebol Society (Areninha Potiguar), na Escola Estadual Professor Francisco Barbosa, localizada na Av",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12482,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12482
90004,2025,004100280013002024,PREGÃO ELETRÔNICO,"Aquisição gêneros alimentícios em execução do PNAE, para fornecimento de alimentação dos alunos matriculados nas escolas da 16ª DIREC",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12357,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12357
90003,2025,004100050039152024,PREGÃO ELETRÔNICO,"Contratação de empresa especializada na locação de 21.000 (vinte e um mil) Chromebooks, nos termos da tabela abaixo, conforme condições e exigências estabelecidas Termo de Referência , do Edital.",PUBLICADA,"0,00",SEEC,EDUCAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12392,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12392
